"id","author","title","description","url","urlToImage","publishedAt","content"
"11","Nicole Nguyen","Apple Watch Series 8 and SE Review: Both Watches Could Save Your Life. One Could Help You Make a Baby. - The Wall Street Journal","<ol><li>Apple Watch Series 8 and SE Review: Both Watches Could Save Your Life. One Could Help You Make a Baby.  The Wall Street Journal</li><li>Apple Watch Series 8 review: if it ain't broke  The Verge</li><li>Apple Watch Series 8: A week with the new bes…","https://www.wsj.com/articles/apple-watch-series-8-and-se-review-both-watches-could-save-your-life-one-could-help-you-make-a-baby-11663204609","https://images.wsj.net/im-623743/social","2022-09-15T13:00:00Z","Deciding which Apple Watch to get just got a little more complicated. This year, there are three new Apple Watch models, each with a different mix of health, fitness and emergency sensors.Theres th… [+398 chars]"
"12","Charles Hutzler","Biden Orders Deeper Scrutiny of Foreign Investment in Tech and Supply Chains - The Wall Street Journal","A new executive order directs the panel screening foreign investment, Cfius, to look at deals in areas U.S. officials say are of interest to China.","https://www.wsj.com/articles/biden-orders-deeper-scrutiny-of-foreign-investment-in-tech-and-supply-chains-11663246802","https://images.wsj.net/im-623509/social","2022-09-15T13:00:00Z","WASHINGTONThe Biden administration is ordering a panel that screens foreign investment for national security risks to heighten scrutiny of deals that may give China and other adversaries access to cr… [+412 chars]"
"13","Katherine Clarke","Will Someone Pay $250 Million to Live Atop World's Tallest Condo Tower?","Will Someone Pay $250 Million to Live Atop World's Tallest Condo Tower?    (First column, 13th story, link)    Related stories:Country's Most Expensive Home...","https://www.wsj.com/articles/central-park-tower-penthouse-lists-for-250-million-11663202931","https://images.wsj.net/im-622414/social","2022-09-15T11:34:39Z","When construction topped out at New Yorks Central Park Tower, the Billionaires Row mega-tower set a record for the worlds tallest residential condominium, at 1,550 feet high. Now, developer Gary Ba… [+406 chars]"
"14","Yaroslav Trofimov","Ukraine Battles Flooding After Russian Strike on Dam - The Wall Street Journal","<ol><li>Ukraine Battles Flooding After Russian Strike on Dam  The Wall Street Journal</li><li>Russia-Ukraine War: Latest Updates  The New York Times</li><li>Zelenskyy's hometown in Ukraine floods after Russian cruise missile strikes break dam  Fox News<…","https://www.wsj.com/articles/ukraine-battles-flooding-after-russian-strike-on-dam-11663241695","https://images.wsj.net/im-623659/social","2022-09-15T11:34:00Z","Ukrainian authorities said Thursday that they had managed to stave off flooding caused by a Russian missile strike on the southern city of Kryviy Rih, as the European Unions top official traveled to … [+455 chars]"
"15","Heather Somerville","Chinese Investment Flows to Silicon Valley Venture Funds","Chinese investment in U.S. venture-capital funds is demonstrating that economic ties between Silicon Valley and China remain deep despite political and national security risks.","https://www.wsj.com/articles/chinese-investment-flows-to-silicon-valley-venture-funds-11663234202","https://images.wsj.net/im-623384/social","2022-09-15T10:30:42Z","Chinese investment in U.S. venture-capital funds is flowing, demonstrating that economic ties between Silicon Valley and China remain deep despite political and national security risks, according to … [+563 chars]"
"16","Christopher Mims","Shell Names New CEO as Ben van Beurden Steps Down","The company said its longtime CEO would be replaced by Wael Sawan, a changing of the guard at one of the world’s biggest oil companies.","https://www.wsj.com/articles/shell-names-new-ceo-as-ben-van-beurden-steps-down-11663224088","https://images.wsj.net/im-623587/social","2022-09-15T06:44:10Z","Shell PLC said longtime Chief Executive Officer Ben van Beurden was stepping down after nine years, capping a period of continuous change within the oil-and-gas industry, and would be replaced by Wae… [+201 chars]"
"17","Jeffry Bartash","美国PPI涨幅连续第二个月下降 - Wall Street Journal","<ol><li>美国PPI涨幅连续第二个月下降  Wall Street Journal</li><li>美国8月PPI同比回落至8.7%，核心PPI仍然高于预期  华尔街见闻</li><li>油价下跌 英国通胀从40年高点回落中國報  China Press</li><li>在Google 新闻上查看完整报道</li></ol>","https://cn.wsj.com/articles/美国ppi涨幅连续第二个月下降-11663198505","https://images.wsj.net/im-622745/social","2022-09-14T23:35:00Z","80.1%(PPI)20202020(The Wall Street Journal)0.1%9.8%8.7%..."
"18","Heather Haddon","McDonald's CEO Raises Crime Concerns for Business in Chicago - The Wall Street Journal","McDonald’s CEO Chris Kempczinski said the burger giant faces violent crime, homelessness and drug overdoses in its Chicago restaurants, and called on city and business leaders to help.","https://www.wsj.com/articles/mcdonalds-ceo-raises-crime-concerns-for-business-in-chicago-11663195918","https://images.wsj.net/im-623426/social","2022-09-14T23:03:38Z","McDonald Corp. Chief Executive Officer Chris Kempczinski said the burger giant is grappling with violent crime, homelessness and drug overdoses in its Chicago restaurants, and called on city and bu… [+422 chars]"
"19","Christopher Mims","Luxury Brands Spend More on Marketing, Defying Economic Uncertainty","The rising influence of wealthy consumers keeps high-end products and services in demand","https://www.wsj.com/articles/luxury-brands-spend-more-on-marketing-defying-economic-uncertainty-11663188879","https://images.wsj.net/im-623225/social","2022-09-14T22:00:52Z","Many luxury-good sellers arent feeling the same pressure to cut marketing budgets that has hit other categories in recent months, thanks to a booming market for luxury cars, travel packages and other… [+6424 chars]"
"20","Max Colchester","Royal Family Unites to Take Queen's Coffin to Public Viewing - The Wall Street Journal","<ol><li>Royal Family Unites to Take Queen's Coffin to Public Viewing  The Wall Street Journal</li><li>William and Harry's show of unity for the Queen  CNN</li><li>William and Harry walk together behind a loved one's coffin, again  Reuters UK</li><li>The…","https://www.wsj.com/articles/royal-family-will-unite-to-accompany-queens-coffin-through-london-11663155747","https://images.wsj.net/im-622795/social","2022-09-14T20:49:00Z","LONDONThe royal family united in procession Wednesday as Queen Elizabeth IIs coffin left her home at Buckingham Palace for the last time, taken atop a gun carriage in a somber ceremonial march to Wes… [+390 chars]"
"21","Alyssa Lukpat","MyPillow CEO Mike Lindell Says FBI Seized His Phone at a Hardee's Drive-Through - The Wall Street Journal","<ol><li>MyPillow CEO Mike Lindell Says FBI Seized His Phone at a Hardee's Drive-Through  The Wall Street Journal</li><li>FBI seizes Mike Lindell's phone in probe of Colo. voting machine breach  The Washington Post</li><li>Trump Throws Epic Tantrum Over FB…","https://www.wsj.com/articles/mypillow-ceo-mike-lindell-says-fbi-seized-his-phone-at-a-hardees-drive-through-11663176148","https://images.wsj.net/im-622788/social","2022-09-14T18:22:00Z","Mike Lindell, the chief executive of MyPillow Inc. who has spread unproven claims about voter fraud, said the FBI seized his phone and questioned him about a Colorado county election clerk who was al… [+270 chars]"
"22","Talal Ansari","Adnan Syed Murder Conviction Should Be Vacated, Prosecutors Say - The Wall Street Journal","<ol><li>Adnan Syed Murder Conviction Should Be Vacated, Prosecutors Say  The Wall Street Journal</li><li>Baltimore prosecutors move to vacate Adnan Syed conviction in 1999 murder case brought to national fame in 'Serial' podcast  Baltimore Sun</li><li>Vie…","https://www.wsj.com/articles/adnan-syed-serial-podcast-vacate-murder-conviction-11663163015","https://images.wsj.net/im-623061/social","2022-09-14T16:53:00Z","Prosecutors in Baltimore are asking a judge to vacate Adnan Syeds conviction for the 1999 murder of Hae Min Lee, a case that riveted America when it was turned into the hit first season of the podc… [+272 chars]"
"23","Esther Fung","Railroad Union Says Workers Voted Against Proposed Labor Deal as Strike Looms","One of the labor unions representing U.S. railroad workers said its members rejected a tentative agreement, a setback in efforts to avoid a potential strike that would disrupt the movement of goods across the U.S.","https://www.wsj.com/articles/railroad-union-says-workers-voted-against-proposed-labor-deal-as-strike-looms-11663170265","https://images.wsj.net/im-622264/social","2022-09-14T15:46:47Z","One of the labor unions representing U.S. railroad workers said its members rejected a tentative agreement its leaders had reached, a setback in efforts to avoid a potential strike that would disru… [+386 chars]"
"24","Rebecca Picciotto","Teens Love ROLLING STONES T-Shirts. Just Don't Ask Them to Name Song...","Rolling Stones and Iron Maiden T-shirts are in fashion among younger generations, even if they’ve never heard the music. ‘It’s a huge letdown when you realize they don’t actually listen to it.’","https://www.wsj.com/articles/teens-love-rolling-stones-t-shirts-just-dont-ask-them-to-name-a-song-11663165887","https://images.wsj.net/im-622161/social","2022-09-14T15:22:40Z","Like many 17-year-old high-school students today, Sarah Jenkins doesnt listen to the Rolling Stones. Her closet tells a different story.In seventh grade, Ms. Jenkins decided to buy the shirt that e… [+345 chars]"
"25","Rebecca Feng and Dave Sebastian","Chinese Investment Bank CICC Plans Large Capital Raise to Bolster Business - The Wall Street Journal","The investment bank’s shares fell to their lowest level in more than two years after it said it wants to raise as much as $3.9 billion to fund its expansion amid increasing competition from foreign rivals.","https://www.wsj.com/articles/chinese-investment-bank-cicc-plans-large-capital-raise-to-bolster-business-11663156089","https://images.wsj.net/im-622688/social","2022-09-14T11:48:00Z","China International Capital one of the countrys biggest investment banks, said it plans to raise billions of dollars to bolster its business as it contends with increasing competition from foreign ri… [+299 chars]"
"26","Rebecca Feng","中金公司股价在公布配股计划后下挫 - Wall Street Journal","<ol><li>中金公司股价在公布配股计划后下挫  Wall Street Journal</li><li>中金公司公布270亿元人民币配股计划后股价下跌  Wall Street Journal</li><li>中金公司计划通过配售股份筹集高达39亿美元  Wall Street Journal</li><li>在Google 新闻上查看完整报道</li></ol>","https://cn.wsj.com/articles/中金公司股价在公布配股计划后下挫-11663155005","https://images.wsj.net/im-622572/social","2022-09-14T11:30:00Z","(China International Capital Corporation Ltd., 3908.HK, 601995.SH, :)27039H8%2020A9.2%10340%(Morgan..."
"27","Sam Schechner","Google Loses Most of Appeal of EU Android Decision","The tech giant lost most of its appeal to overturn the antitrust decision for allegedly using its Android operating system to squash competition—but got a roughly $215 million reduction in the fine.","https://www.wsj.com/articles/google-loses-most-of-appeal-of-eu-android-decision-11663144271","https://images.wsj.net/im-622622/social","2022-09-14T08:37:02Z","BRUSSELSAlphabet Google lost most of its appeal to overturn a $4.33 billion antitrust decision imposed by the European Union for allegedly using its Android operating system to squash competitionbut … [+484 chars]"
"28","Keith Zhai 发自新加坡, Evan Gershkovich 发自莫斯科","习近平和普京将在中亚举行会晤，拟联手对抗西方 - Wall Street Journal","<ol><li>习近平和普京将在中亚举行会晤，拟联手对抗西方  Wall Street Journal</li><li>评论  何清涟：上合普习会为何举世瞩目？  自由亚洲电台</li><li>乌克兰战争给上合组织峰会蒙上阴影  美国之音中文网 - VOA Mandarin</li><li>在Google 新闻上查看完整报道</li></ol>","https://cn.wsj.com/articles/习近平和普京将在中亚举行会晤-拟联手对抗西方-11663125305","https://images.wsj.net/im-621580/social","2022-09-14T05:55:00Z","(Vladimir Putin)(Shanghai Cooperation Organization, )3,500..."
"29","Andrew Restuccia, Ted Mann and Esther Fung","White House Explores Rail-Freight Alternatives as Possible Strike Looms - The Wall Street Journal","<ol><li>White House Explores Rail-Freight Alternatives as Possible Strike Looms  The Wall Street Journal</li><li>Amtrak cancels some long-haul trips ahead of possible freight railroad strike  KARE 11</li><li>Potential railroad strike threatens U.S. econom…","https://www.wsj.com/articles/white-house-explores-rail-freight-alternatives-as-labor-stoppage-looms-11663094198","https://images.wsj.net/im-622103/social","2022-09-14T01:06:00Z","The White House is assessing how other transportation providers could fill potential gaps in the nations freight network as labor unions and railroads continue contract talks to avert a potential lab… [+435 chars]"
"30","Vivien Lou Chen","联邦基金利率期货显示美联储下周加息100个基点的可能性升至34% - Wall Street Journal","美国8月消费者价格指数高于预期，联邦基金利率期货显示美联储加息100个基点的可能性从周一的零提高到了34%。","https://cn.wsj.com/articles/联邦基金利率期货显示美联储下周加息100个基点的可能性升至34-11663112833","https://s.wsj.net/public/resources/images/BN-TH857_1THEX_TOP_20170505092344.jpg","2022-09-13T23:47:00Z","8(CPI)100034%2.25%-2.5%3.25%-3.5%7591%66%1,200(Nomura Securities)1MarketWatch..."
"31","Karen Langley, Caitlin Ostroff","美股创出逾两年来最大单日跌幅，道指跌近1,300点 - Wall Street Journal","<ol><li>美股创出逾两年来最大单日跌幅，道指跌近1,300点  Wall Street Journal</li><li>升息恐慌加剧美股暴跌两年多来最惨 财经  Oriental Daily News 马来西亚东方日报</li><li>在Google 新闻上查看完整报道</li></ol>","https://cn.wsj.com/articles/美股创出逾两年来最大单日跌幅-道指跌近1-300点-11663112404","https://images.wsj.net/im-621393/social","2022-09-13T23:45:00Z","3050011FacebookMeta Platforms Inc. (META)9.4%(BlackRock Inc., BLK)7.4%(Boeing Co., BA)7.2%1276.373.9%31,104.97500177.724.3%3,932.69632.845.2%11,633.57..."
"32","Jessica Toonkel","Paramount Considers Discontinuing Showtime Streaming Service, Merging With Paramount+","The move would involve discontinuing the Showtime service, a step that would streamline the entertainment company’s offerings amid a crowd of competitors.","https://www.wsj.com/articles/paramount-considers-discontinuing-showtime-streaming-service-merging-with-paramount-11663094840","https://images.wsj.net/im-621874/social","2022-09-13T18:49:34Z","Paramount Global is considering discontinuing its Showtime streaming service and shifting its content into Paramount+, according to people familiar with the situation, a move that would streamline th… [+270 chars]"
"33","William A. Galston","What Rights Do Hasidic Schools Have? - The Wall Street Journal","<ol><li>What Rights Do Hasidic Schools Have?  The Wall Street Journal</li><li>State adopts new rules for non-public schools, yeshivas  Spectrum News NY1</li><li>NY adopts new guidelines for cracking down on religious schools  New York Post </li><li>NY p…","https://www.wsj.com/articles/what-rights-do-hasidic-schools-have-new-york-times-judaism-yeshivas-supreme-court-free-exercise-religion-11663070380","https://images.wsj.net/im-621866/social","2022-09-13T16:39:00Z","William A. Galston writes the weekly Politics &amp; Ideas column in the Wall Street Journal. He holds the Ezra K. Zilkha Chair in the Brookings Institutions Governance Studies Program, where he serve… [+1031 chars]"
"34","Jared Malsin","Armenia, Azerbaijan Clashes Test Russia's Support for Regional Ally - The Wall Street Journal","<ol><li>Armenia, Azerbaijan Clashes Test Russia's Support for Regional Ally  The Wall Street Journal</li><li>UPDATE 1-Kremlin says Putin making 'every effort' to de-escalate Armenia-Azerbaijan hostilities  Yahoo Finance</li><li>LATEST UPDATES: Deadly clas…","https://www.wsj.com/articles/armenia-azerbaijan-clashes-test-russias-support-for-regional-ally-11663080829","https://images.wsj.net/im-621884/social","2022-09-13T16:27:00Z","A new round of fighting erupted between Armenia and Azerbaijan, threatening to unravel a cease-fire brokered by the Kremlin and testing its support for traditional allies during the war in Ukraine.… [+363 chars]"
"35","River Davis and Krishna Pokharel","Honda Considers Listing for Electric-Motorcycle Business - WSJ - The Wall Street Journal","Japanese vehicle maker, which earns hefty profits on two-wheelers, looks to catch up in markets like India.","https://www.wsj.com/articles/honda-considers-listing-for-electric-motorcycle-business-11663081257","https://images.wsj.net/im-621737/social","2022-09-13T15:00:00Z","TOKYOHonda Motor Co., the worlds top maker of motorcycles by market share, is considering a separate stock-market listing for its electric two-wheeler business, a move it says could help accelerate… [+266 chars]"
"36","Alyssa Lukpat","Columbia University Falls to No. 18 From No. 2 in U.S. News College Rankings - The Wall Street Journal","<ol><li>Columbia University Falls to No. 18 From No. 2 in U.S. News College Rankings  The Wall Street Journal</li><li>Columbia University Drops From No. 2 to No. 18 in U.S. News Rankings  The New York Times</li><li>Critiques mount around popular annual co…","https://www.wsj.com/articles/columbia-university-falls-to-no-18-from-no-2-in-u-s-news-college-rankings-11663076946","https://images.wsj.net/im-621739/social","2022-09-13T13:49:00Z","Columbia University fell to No. 18 in this years U.S. News &amp; World Report college rankings, down from No. 2 last year, after the school recently admitted to incorrectly reporting data for the l… [+246 chars]"
"37","Will Horner","OPEC Reiterates Warning About Disconnected Oil Market","The remarks are the latest signal that the group is prepared to backstop the oil market and prevent prices from falling much further, confounding efforts by Western governments to ease the pain of high energy prices.","https://www.wsj.com/articles/opec-reiterates-warning-about-disconnected-oil-market-11663075688","https://images.wsj.net/im-621796/social","2022-09-13T13:28:00Z","The oil market is in a state of schizophrenia and increasingly disconnected from signs of robust crude demand, OPEC said Tuesday, reiterating earlier hints that it would act to support prices that ha… [+382 chars]"
"38","Caitlin Ostroff","Stock Futures Fall After Inflation Data is Higher Than Expected","Annual inflation eased to 8.3% in August but came in higher than economists anticipated","https://www.wsj.com/articles/global-stocks-markets-dow-update-09-13-2022-11663065625","https://images.wsj.net/im-621393/social","2022-09-13T13:05:00Z","U.S. stock futures fell after fresh inflation data showed that price pressures are proving more persistent than investors anticipated, denting hopes that central bankers may ease their course of inte… [+258 chars]"
"39","Christopher Mims","Fanatics’ Upstart Sports-Gambling Division Hires Marketing Chief","Jason White, veteran of MTV and Beats, is joining the newest business in Michael Rubin’s digital sports empire as it aims to take on big names including DraftKings and FanDuel","https://www.wsj.com/articles/fanatics-upstart-sports-gambling-division-hires-marketing-chief-11663063201","https://images.wsj.net/im-621406/social","2022-09-13T10:29:11Z","Sports-merchandise retailer Fanatics Inc. has hiredJason Whiteas chief marketing officer of Fanatics Betting and Gaming, its nascent online sports-gambling division.Fanatics, which is controlled … [+3735 chars]"
"40","Berber Jin","Former Disney CEO Robert Iger to Join Venture Firm Thrive Capital","Former Disney CEO Robert Iger is joining Thrive Capital, where he will advise on day-to-day initiatives including mentoring startup founders and identifying new investment opportunities.","https://www.wsj.com/articles/former-disney-ceo-robert-iger-to-join-venture-firm-thrive-capital-11663061402","https://images.wsj.net/im-621364/social","2022-09-13T09:42:07Z","Robert Iger, the former chief executive of Walt Disney is joining venture-capital firm Thrive Capital, where as a venture partner he will advise on day-to-day initiatives including mentoring startup … [+377 chars]"
"41","Joanna Sugden","英国女王灵柩将在威斯敏斯特宫停放约四天供民众瞻仰 - Wall Street Journal","<ol><li>英国女王灵柩将在威斯敏斯特宫停放约四天供民众瞻仰  Wall Street Journal</li><li>伊丽莎白二世灵柩前往爱丁堡 民众沿途表达最后敬意抛撒鲜花  美国之音中文网 - VOA Mandarin</li><li>英国女王葬礼细节公布，有人抱怨  环球网</li><li>伊丽莎白二世移灵爱丁堡 国葬9.19伦敦举行  RFI - 法国国际广播电台</li><li>【英女王驾崩】苏格兰再掀独立辩论 国际  Oriental Daily News 马来西亚东方日报…","https://cn.wsj.com/articles/英国女王灵柩将在威斯敏斯特宫停放约四天供民众瞻仰-11663026005","https://images.wsj.net/im-620763/social","2022-09-12T23:40:00Z","(Queen Elizabeth II)1,0005919630..."
"42","Alexandra Bruell","Members of New York Times, NBC News Digital Unions Defy Return-to-Office Plans","Some vow to work from home all of this week, the first in which both organizations expect employees back in the office some of the time.","https://www.wsj.com/articles/members-of-new-york-times-nbc-news-digital-unions-defy-return-to-office-plans-11663021373","https://images.wsj.net/im-621069/social","2022-09-12T22:40:48Z","Some union members of the New York Times and NBC Newss digital properties vowed not to come to the office this week and instead work remotely, defying their respective employers back-to-the-office pl… [+172 chars]"
"43","wsj","New Cancer Drug Beats Chemo in Study...","Amgen’s Lumakras targets a mutation called KRAS that is common among many cancers.","https://www.wsj.com/articles/new-cancer-drug-beats-chemotherapy-in-study-11662996694","https://images.wsj.net/im-620951/social","2022-09-12T21:00:04Z","New Cancer Drug Beats Chemotherapy in StudyNew data from the first of a new type of cancer drug suggest its benefits and limitations, while leaving room for other candidates seeking to enter the lucr… [+748 chars]"
"44","Allison Prang","Thousands of Minnesota Nurses Go on Strike Over Retention, Staffing, Pay","The strike is believed to be the largest-ever work stoppage by private-sector nurses in the U.S., according to the Minnesota Nurses Association.","https://www.wsj.com/articles/thousands-of-minnesota-nurses-go-on-strike-over-retention-staffing-pay-11663011195","https://images.wsj.net/im-621044/social","2022-09-12T19:35:59Z","Roughly 15,000 Minnesota nurses went on strike Monday in protest of stalled contract negotiations and concerns over staffing and retention, wages and patient care.The strike, which is expected to c… [+242 chars]"
"45","Joanna Stern","iOS 16 Is Here. The iPhone Update Brings a Screen Makeover, Message Editing and More.","Apple finally lets you customize your lock screen with layouts, colors and fonts. Plus, new messaging tools improve everyday use.","https://www.wsj.com/articles/ios-16-apple-release-features-iphone-11663000852","https://images.wsj.net/im-620924/social","2022-09-12T17:46:47Z","Sometimes I look at my two young sons on my iPhones lock screen and think to myself, Wow, how beautifulthat I could match the color of the clock to the exact color of their eyebrows.When I tell you… [+243 chars]"
"46","Megha Mandavia","American Tech Can't Catch a Break in India - The Wall Street Journal","India is flexing its muscles in the tech world, preparing a raft of new legislation to tighten control on the  internet.","https://www.wsj.com/articles/american-tech-cant-catch-a-break-in-india-11662992038","https://images.wsj.net/im-620890/social","2022-09-12T14:26:00Z","U.S. tech companies are rolling up their sleeves and bracing themselves for an onslaught of regulation in India that will change the way they do business in the South Asian nation.On Saturday, Indi… [+474 chars]"
"47","Julia-Ambra Verlaine","强势美元可能产生哪些意想不到的后果？ - Wall Street Journal","<ol><li>强势美元可能产生哪些意想不到的后果？  Wall Street Journal</li><li>货币贬值45%，这个国家破产！美元飙涨，日元跌回二十五年前，英镑欧元韩币跌超10%，15国面临债务危机  新浪</li><li>在Google 新闻上查看完整报道</li></ol>","https://cn.wsj.com/articles/强势美元可能产生哪些意想不到的后果-11662960906","https://images.wsj.net/im-620320/social","2022-09-12T07:00:00Z","19971998Long-Term Capital Management..."
"48","Mike Murphy","拜登将参加下周一举行的英女王葬礼 - Wall Street Journal","<ol><li>拜登将参加下周一举行的英女王葬礼  Wall Street Journal</li><li>英国女王逝世：非洲如何看待殖民时代和女王留下的遗产  BBC</li><li>尹锡悦发文追悼已故英女王，英媒体人挑错：伊丽莎白二世名字拼错了  环球网</li><li>【英女王驾崩】拜登正式接受邀请将偕夫人参加国葬 国际  Oriental Daily News 马来西亚东方日报</li><li>英国女王逝世：伊丽莎白二世留在中国大陆和香港的足迹  BBC</li><li>在Googl…","https://cn.wsj.com/articles/美国总统拜登周六将飞赴英国-参加下周一举行的英女王国葬-11662953108","https://images.wsj.net/im-423309/social","2022-09-12T05:25:00Z","(Joe Biden)·(Jill Biden)(Queen Elizabeth II)CNN..."
"49","Shlomo Benartzi","How Much Can You Spend in Retirement? Answer These Questions First.","A lot will depend on your health, how long you work, when you take Social Security and more. Here’s how small adjustments can make a big difference.","https://www.wsj.com/articles/how-much-can-you-spend-in-retirement-questions-to-answer-11662487918","https://images.wsj.net/im-618858/social","2022-09-11T14:00:00Z","As people prepare for retirement, much of their focus is on making sure they save as much as possible, or at least as much as they think theyll need. Too often, though, we forget that people dont j… [+377 chars]"
